qid,source,type,question,image,solution,answer,unit,notes,number_of_answers,original_qid,category_vector,steps_count,difficulty_level,primary_category,Materials,Properties,Structures,Fundamental Mechanisms,Processes,Failure Mechanisms
Polymer_Science_and_Technology_Fried_Example 1.1,Polymer_Science_and_Technology_Fried,NUM,"A polydisperse sample of polystyrene is prepared by mixing three monodisperse samples in the following proportions: $$\begin{array}{ll}1 \mathrm{~g} & 10,000 \text { molecular weight } \\ 2 \mathrm{~g} & 50,000 \text { molecular weight } \\ 2 \mathrm{~g} & 100,000 \text { molecular weight }\end{array}$$ Using this information, calculate the number-average molecular weight, weight-average molecular weight, and PDI of the mixture. Give your answer as a tuple (number-average molecular weight, weight-average molecular weight, PDI).",,"We obtain the following:

$$
\begin{aligned}
& \bar{M}_{\mathrm{n}}=\frac{\sum_{i=1}^{3} N_{i} M_{i}}{\sum_{i=1}^{3} N_{i}}=\frac{\sum_{i=1}^{3} W_{i}}{\sum_{i=1}^{3}\left(W_{i} / M_{i}\right)}=\frac{1+2+2}{\frac{1}{10,000}+\frac{2}{50,000}+\frac{2}{100,000}}=31,250 \\
& \bar{M}_{\mathrm{w}}=\frac{\sum_{i=1}^{3} N_{i} M_{i}^{2}}{\sum_{i=1}^{3} N_{i} M_{i}}=\frac{\sum_{i=1}^{3} W_{i} M_{i}}{\sum_{i=1}^{3} W_{i}}=\frac{10,000+2(50,000)+2(100,000)}{5}=62,000 \\
& \mathrm{PDI}=\frac{\bar{M}_{\mathrm{w}}}{\bar{M}_{\mathrm{n}}}=\frac{62,000}{31,250}=1.98
\end{aligned}
$$","(31250, 62000, 1.98)","(g/mol, g/mol, )",,multiple,Example 1.1,201000,3,hard,Materials: Polymers,Polymers,,Composites,,,
Polymer_Science_and_Technology_Fried_Example 1.2,Polymer_Science_and_Technology_Fried,NUM,"A polymer is fractionated and is found to have the continuous molecular-weight distribution shown below as a plot of the weight, $W$, of molecules having molecular weight, $M$, versus $M$. Given this molecular-weight distribution, calculate $\bar{M}_{\mathrm{n}}$ and $\bar{M}_{\mathrm{w}}$. Give your answer as a tuple ($\bar{M}_{\mathrm{n}}$, $\bar{M}_{\mathrm{w}}$).",images/Polymer_Science_and_Technology_Fried_Example 1.2_1.jpeg,"We obtain the following:

$$
\begin{aligned}
& \bar{M}_{\mathrm{n}}=\frac{\int_{10^{3}}^{10^{5}} d M}{\int_{10^{3}}^{10^{5}}(1 / M) d M}=\frac{10^{5}-10^{3}}{\ln \left(10^{5} / 10^{3}\right)}=21,498 \\
& \bar{M}_{\mathrm{w}}=\frac{\int_{10^{3}}^{10^{5}} M d M}{\int_{10^{3}}^{10^{5}} d M}=\frac{\left(M^{2} / 2\right)_{10^{3}}^{10^{5}}}{9.9 \times 10^{4}}=50,500
\end{aligned}
$$","(21498, 50500)",,,multiple,Example 1.2,201000,1,medium,Materials: Polymers,Polymers,,Composites,,,
Polymer_Science_and_Technology_Fried_Example 1.3,Polymer_Science_and_Technology_Fried,FORMULA,"The single-parameter Flory distribution is given as

$$
W(X)=X(\ln p)^{2} p^{X}
$$

where $X$ is the degree of polymerization and $p$ is the fractional monomer conversion in a step-growth polymerization. Using this equation, obtain expressions for the number-average and weight-average degrees of polymerization in terms of $X$ and $p$. Give your answer as a tuple (number-average degree of polymerization, weight-average degree of polymerization).",,"Using the following geometric series:

\[
\begin{aligned}
& \sum_{X=1}^{\infty} p^{X-1} = 1 + p + p^{2} + p^{3} + \cdots = \frac{1}{1 - p} \quad (-1 < p < 1), \\
& A = \sum_{X=1}^{\infty} X p^{X-1} = 1 + 2p + 3p^{2} + \cdots = \frac{1}{(1 - p)^2}, \\
& B = \sum_{X=1}^{\infty} X^{2} p^{X-1} = 1 + 2^{2}p + 3^{2}p^{2} + \cdots.
\end{aligned}
\]

Since it can be shown that \( B(1 - p) = A(1 + p) \), it follows that
\[
B = \frac{1 + p}{(1 - p)^3},
\]
and then

\[
\begin{aligned}
\bar{X}_{\mathrm{n}} &= \frac{\sum_{X=1}^{\infty} W(X)}{\sum_{X=1}^{\infty} W(X)/X} = \frac{(\ln p)^{2} p \sum_{X=1}^{\infty} X p^{X-1}}{(\ln p)^{2} p \sum_{X=1}^{\infty} p^{X-1}} \\
&= \frac{\sum_{X=1}^{\infty} X p^{X-1}}{\sum_{X=1}^{\infty} p^{X-1}} = \frac{1 / (1 - p)^2}{1 / (1 - p)} = \frac{1}{1 - p}, \\
\bar{X}_{\mathrm{w}} &= \frac{\sum_{X=1}^{\infty} X W(X)}{\sum_{X=1}^{\infty} W(X)} = \frac{(\ln p)^2 p \sum_{X=1}^{\infty} X^2 p^{X-1}}{(\ln p)^2 p \sum_{X=1}^{\infty} X p^{X-1}} \\
&= \frac{\sum_{X=1}^{\infty} X^2 p^{X-1}}{\sum_{X=1}^{\infty} X p^{X-1}} = \frac{(1 + p)/(1 - p)^3}{1/(1 - p)^2} = \frac{1 + p}{1 - p}.
\end{aligned}
\]","($\frac{1}{1-p}$, $\frac{1+p}{1-p}$)",,,multiple,Example 1.3,201300,1,easy,Materials: Polymers,Polymers,,Composites,Phase Diagram,,
Polymer_Science_and_Technology_Fried_Example 2.1,Polymer_Science_and_Technology_Fried,NUM,"Using reactivity ratios of styrene (1) and 4-chlorostyrene (2) calculated from $Q-e$ values given in the table, determine the instantaneous copolymer composition (i.e., mole fraction of styrene) resulting from the free-radical copolymerization of an equimolar mixture of styrene and 4-chlorostyrene.

\begin{tabular}{llr}
\hline Monomer & Q & \multicolumn{1}{l}{ e } \\
\hline Acrylamide & 0.23 & 0.54 \\
Acrylonitrile & 0.48 & 1.23 \\
Butadiene & 1.70 & -0.50 \\
4-Chlorostyrene & 1.33 & -0.64 \\
Ethylene & 0.016 & 0.05 \\
Isobutylene & 0.023 & -1.20 \\
Isoprene & 1.99 & -0.55 \\
Maleic anhydride & 0.86 & 3.69 \\
Methacrylic acid & 0.98 & 0.62 \\
Methyl methacrylate & 0.78 & 0.40 \\
$N$-Vinyl pyrrolidone & 0.088 & -1.62 \\
Styrene & 1.00 & -0.80 \\
Vinyl acetate & 0.026 & -0.88 \\
Vinyl chloride & 0.056 & 0.16 \\
Vinylidene chloride & 0.31 & 0.34 \\
\hline
\end{tabular}",images/Polymer_Science_and_Technology_Fried_Example 2.1_1.png,"From eq. $r_1 = \frac{k_{11}}{k_{12}} = \left( \frac{Q_1}{Q_2} \right) \exp \left[ -e_1 \left( e_1 - e_2 \right) \right]$, we have $r_{i}=\left(\frac{1.0}{1.33}\right) \exp [0.80(-0.80+0.64)]=0.752 \exp (-0.128)=0.662$. and from eq. $r_2 = \frac{k_{22}}{k_{21}} = \left( \frac{Q_2}{Q_1} \right) \exp \left[ -e_2 \left( e_2 - e_1 \right) \right]$, we have $r_{2}=\left(\frac{1.33}{1.0}\right) \exp [0.64(-0.64+0.80)]=1.33 \exp (0.102)=1.47$. These values differ from those given in Table 2-6; however, it is noted that there is typically significant variations in reported reactivity ratios obtained from experiment. For example, the reactivity ratio $\left(r_{2}\right)$ for 4-chlorostyrene in styrene/4-chlorostyrene copolymerization has been reported in the range from 0.76 to 1.76 [2]. Using the $Q-e$ values for $r_{1}$ and $r_{2}$, the instantaneous mole fraction of styrene in the copolymer is: $$\begin{aligned} F_{1} & =\frac{r_{1} f_{1}^{2}+f_{1} f_{2}}{r_{1} f_{1}^{2}+2 f_{1} f_{2}+r_{2} f_{2}^{2}}=\frac{0.662(0.5)^{2}+0.5^{2}}{0.662(0.5)^{2}+2(0.5)^{2}+1.47(0.5)^{2}}=\frac{0.166+0.25}{0.166+0.5+0.368} \\ & =\frac{0.416}{1.03}=0.404 \end{aligned}$$ This result indicates that the copolymer would be expected to be enriched in monomer 2 (i.e., 4-chlorostyrene) as has been observed experimentally.",0.404,,,single,Example 2.1,220000,3,easy,Materials: Polymers,Polymers,Thermal,,,,
Polymer_Science_and_Technology_Fried_Example 2.2,Polymer_Science_and_Technology_Fried,NUM,"Calculate the number-average molecular weight of polystyrene obtained at the completion of an anionic (i.e., ""living"") polymerization in which 0.01 g of $n$-butyllithium and 10 g of styrene monomer are used. The molecular weights of butyllithium and styrene are 64.06 and 104.12 , respectively.",," $$
\begin{gathered}
\bar{X}_{\mathrm{n}} = \frac{[\mathrm{M}]_{\mathrm{o}}}{[\mathrm{I}]_{\mathrm{o}}} = \frac{10 / 104.2}{0.01 / 64.06} = 615.2 \\
\bar{M}_{\mathrm{n}} = \bar{X}_{\mathrm{n}} M_{\mathrm{o}} = 615.2 \times 104.2 = 64{,}055
\end{gathered}
$$",64055,,,single,Example 2.2,201000,2,easy,Materials: Polymers,Polymers,,Composites,,,
Polymer_Science_and_Technology_Fried_Example 2.3,Polymer_Science_and_Technology_Fried,NUM,"Consider the RAFT polymerization of 6.55 M methyl methacrylate (100.12 molecular weight) in benzene using a 1,1'-azobis(1-cyclohexanenitrile) $(0.0018 \mathrm{M})$ initiator and $2.48 \times 10^{-2} \mathrm{M}$ of the RAFT agent $S$-dodecyl $S$-(2-cyano-4-carboxy)but-2-yl trithiocarbonate at $90^{\circ} \mathrm{C}$. At a conversion of $92 \%$ of the monomer, estimate the number-average molecular weight.",,"The number-average degree of polymerization is first calculated as

$$
\bar{X}_{n} \approx \frac{[\mathrm{M}]_{n}-[\mathrm{M}]_{i}}{[\mathrm{R}]_{n}}=\frac{0.92(6.55) \mathrm{M}}{2.48 \times 10^{-2} \mathrm{M}}=\frac{6.03}{2.48 \times 10^{-2}}=243
$$

The number-average molecular weight is then obtained as

$$
\bar{M}_{n}=243 \times 100.1=24,324
$$
",24324,,,single,Example 2.3,201000,2,easy,Materials: Polymers,Polymers,,Composites,,,
Polymer_Science_and_Technology_Fried_Example 13.1,Polymer_Science_and_Technology_Fried,NUM,"Calculate the specific density of poly(2,6-dimethyl-1,4-phenylene oxide) using groupcontribution methods.",,"The repeating unit of poly(2,6-dimethyl-1,4-phenylene oxide) is an amorphous polymer with a $T_{\mathrm{g}}$ of $214^{\circ} \mathrm{C}$. The molecular weight of the repeating unit is $8(12.011)+15.9994+8(1.00794)=120.151$. Using values from Table 13-1, the molar volume is calculated to be $104+8.0=112.0 \mathrm{~cm}^{3} / \mathrm{mol}$. Specific volume is then calculated as $$V_{\mathrm{a}}=112 \frac{\mathrm{~cm}^{3}}{\mathrm{~mol}} \frac{\mathrm{~mol}}{120.2 \mathrm{~g}}=0.9318 \frac{\mathrm{~cm}^{3}}{\mathrm{~g}}$$ Specific density is then calculated as $1 / 0.9318=1.073 \mathrm{~g} / \mathrm{cm}^{3}$.",1.073,$g/cm^3$,,single,Example 13.1,201200,4,medium,Materials: Polymers,Polymers,,Composites,Crystal Structure,,
Polymer_Science_and_Technology_Fried_Example 13.2,Polymer_Science_and_Technology_Fried,NUM,Calculate the fractional free volume (FFV) of atactic polystyrene (aPS) using only group contributions.,images/Polymer_Science_and_Technology_Fried_Example 13.2_1.png,"The repeating unit of PS is $\chemfig{*6(=-=(-(CH_2-[:30]\dot{C})-)=-)}$.

| Group Contribution | $V_{a}$ | $V_{w}$ |
| :--: | :--: | :--: |
| - $\mathrm{CH}_{2}$ - | 16.37 | 10.23 |
| $-\mathrm{CH}\left(\mathrm{C}_{6} \mathrm{H}_{5}\right)-$ | 84.16 | 52.6 |

The molar volume, $V$, of $a$-PS is obtained by summing the group contributions of $V_{\mathrm{a}}$ taken from Table 13-1 as $100.53(16.37+84.16) \mathrm{cm}^{3} / \mathrm{mol}$. Similarly, the van der Waals volume obtained by summing the group contributions, $V_{\mathrm{w}}$ (Table 13-1), is 62.83 $\mathrm{cm}^{3} / \mathrm{mol}(10.23+52.6)$. The occupied volume is then obtained from eq. (13.3) as $V_{\mathrm{o}}=$ $1.3 \times 62.8=81.7 \mathrm{~cm}^{3} / \mathrm{mol}$. Finally, the FFV is obtained from eq. (13.1) as

$$
\mathrm{FFV}=\frac{V-V_{\mathrm{o}}}{V}=\frac{100.5-81.7}{100.5}=\frac{18.8}{100.5}=0.187
$$
",0.187,,,single,Example 13.2,201000,6,easy,Materials: Polymers,Polymers,,Composites,,,
Polymer_Science_and_Technology_Fried_Example 13.3,Polymer_Science_and_Technology_Fried,NUM,Calculate the $T_{\mathrm{g}}$ of bisphenol-A polycarbonate (PC) using van Krevelen's parameters. The repeating unit structure of PC is shown in the figure.,"images/Polymer_Science_and_Technology_Fried_Example 13.3_1.jpeg,images/Polymer_Science_and_Technology_Fried_Example 13.3_2.png","The selected structural groups for PC and their corresponding molecular weights and molar glass-transition functions are shown in the table. The molecular weight of the repeating unit is then calculated as $60.0+194.3=254.3$ and the corresponding sum of the molar glass-transition functions is 107 . The $T_{\mathrm{g}}$ is then calculated from eq. $T_g = \frac{\sum\limits_{i} Y_{g,i}}{M} = \frac{Y_g}{M}$ as

$$
T_{\mathrm{g}}=\frac{\sum Y_{\mathrm{g}, i}}{M}=\frac{107 \mathrm{~K} \mathrm{~kg} / \mathrm{mol}}{254.3 \mathrm{~kg} / \mathrm{kmol}} \times \frac{1000 \mathrm{~mol}}{\mathrm{kmol}}=421 \mathrm{~K}
$$
",421,K,,single,Example 13.3,221000,1,easy,Materials: Polymers,Polymers,Thermal,Composites,,,
Polymer_Science_and_Technology_Fried_Example 13.4,Polymer_Science_and_Technology_Fried,NUM,Calculate the oxygen permeability of polydimethylsiloxane (PDMS) showing in the figure using the molar Permachor values listed in the Table.,"images/Polymer_Science_and_Technology_Fried_Example 13.4_1.png,images/Polymer_Science_and_Technology_Fried_Example 13.4_2.png","The Permachor is calculated using eq. $\pi = \frac{1}{N} \sum_{i} \left( N_i \cdot \Pi_i \right)$ as

$$
\pi=\frac{1}{2}[(1)(-116)+(1)(70)]=-23
$$

Next the nitrogen permeability is obtained from eq. $P(298) = P^*(298) \exp(-s \pi)$ as

$$
P(298)=\left(10^{-12}\right) \exp [(-0.12)(-23)]=1.58 \times 10^{-11} \mathrm{~cm}(\mathrm{STP}) \mathrm{cm} / \mathrm{cm}^{2}-\mathrm{s}-\mathrm{Pa}
$$

Finally, oxygen permeability is obtained from the relative permeability of $\mathrm{O}_{2}$ to $\mathrm{N}_{2}$ (a factor of 3.8 ), giving the following permeability value:

$$
P(298)=3.8 \times 1.58 \times 10^{-11}=6.0 \times 10^{-11} \mathrm{~cm}(\mathrm{STP}) \mathrm{cm} / \mathrm{cm}^{2}-\mathrm{s}-\mathrm{Pa}
$$

An experimental value of the oxygen permeability of PDMS at 308 K is reported as $9.33 \times 10^{-8} \mathrm{~cm}^{3}(\mathrm{STP}) \mathrm{cm} / \mathrm{s} \mathrm{cm}^{2} \mathrm{cmHg}$ [11]. Conversion of pressure units from cmHg to Pa (Appendix D, Table D-2) results in a $P(298)$ value of $7.00 \times 10^{-11} \mathrm{~cm}^{3}(\mathrm{STP}) \mathrm{cm} / \mathrm{cm}^{2}$ -$\mathrm{s}-\mathrm{Pa}$, in good agreement with the experimental value of $6.0 \times 10^{-11} \mathrm{~cm}^{3}(\mathrm{STP}) \mathrm{cm} / \mathrm{cm}^{2}-\mathrm{s}-$ Pa cited above.",$6.0 \times 10^{-11}$,$\mathrm{cm}^{3}(\mathrm{STP}) \mathrm{cm} / \mathrm{cm}^{2}-\mathrm{s}-\mathrm{Pa}$,,single,Example 13.4,41000,4,easy,Properties: Magnetic,,Magnetic,Composites,,,
